m,n,ARL,H,,,,,,,,,
100,5,246.6171,2.839,,,,100,5,250,2.839,1.694,0.30%
100,10,241.7555,2.865,,,,150,10,370,1.804,1.798,-0.33%
100,15,260.0938,2.895,,,,200,15,370,1.856,1.852,-0.22%
100,20,264.2909,2.895,,,,250,20,500,1.918,1.92,0.10%
125,5,240.3864,2.875,,,,,,,,,
125,10,251.5106,2.895,,,,,,,,,
125,15,244.1704,2.905,,,,,,,,,
125,20,247.4218,2.915,,,,,,,,,
150,5,245.5888,2.905,,,,,,,,,
150,10,256.8374,2.92,,,,,,,,,
150,15,238.8813,2.924,,,,,,,,,
150,20,240.8389,2.925,,,,,,,,,
175,5,258.1676,2.935,,,,,,,,,
175,10,256.1418,2.943,,,,,,,,,
175,15,247.9751,2.946,,,,,,,,,
175,20,241.3906,2.946,,,,,,,,,
200,5,257.1722,2.948,,,,,,,,,
200,10,259.8349,2.958,,,,,,,,,
200,15,260.7332,2.97,,,,,,,,,
200,20,252.8766,2.971,,,,,,,,,
225,5,245.2498,2.948,,,,,,,,,
225,10,242.5202,2.95,,,,,,,,,
225,15,256.8342,2.974,,,,,,,,,
225,20,252.7055,2.98,,,,,,,,,
250,5,249.2762,2.965,,,,,,,,,
250,10,260.3621,2.975,,,,,,,,,
250,15,259.9677,2.985,,,,,,,,,
250,20,254.1234,2.986,,,,,,,,,
100,5,373.1799,2.948,,,,,,,,,
100,10,368.6847,2.961,,,,,,,,,
100,15,363.5561,2.975,,,,,,,,,
100,20,365.5056,2.975,,,,,,,,,
125,5,363.2338,2.984,,,,,,,,,
125,10,371.6583,2.991,,,,,,,,,
125,15,371.6295,3.01,,,,,,,,,
125,20,367.3109,3.01,,,,,,,,,
150,5,372.4567,3.01,,,,,,,,,
150,10,373.5235,3.016,,,,,,,,,
150,15,379.3785,3.035,,,,,,,,,
150,20,367.414,3.035,,,,,,,,,
175,5,374.9118,3.036,,,,,,,,,
175,10,381.8947,3.041,,,,,,,,,
175,15,386.2111,3.06,,,,,,,,,
175,20,380.2561,3.06,,,,,,,,,
200,5,373.5515,3.056,,,,,,,,,
200,10,385.2251,3.056,,,,,,,,,
200,15,377.6035,3.063,,,,,,,,,
200,20,373.8864,3.07,,,,,,,,,
225,5,379.3693,3.071,,,,,,,,,
225,10,389.4505,3.071,,,,,,,,,
225,15,381.2105,3.078,,,,,,,,,
225,20,383.2198,3.079,,,,,,,,,
250,5,372.7474,3.07,,,,,,,,,
250,10,377.9389,3.08,,,,,,,,,
250,15,375.5815,3.087,,,,,,,,,
250,20,376.2065,3.09,,,,,,,,,
100,5,493.9288,3.026,,,,,,,,,
100,10,506.1257,3.034,,,,,,,,,
100,15,496.8187,3.051,,,,,,,,,
100,20,507.5337,3.055,,,,,,,,,
100,5,493.9288,3.026,,,,,,,,,
100,10,506.1257,3.034,,,,,,,,,
100,15,496.8187,3.051,,,,,,,,,
100,20,507.5337,3.055,,,,,,,,,
125,5,491.5344,3.065,,,,,,,,,
125,10,496.5329,3.064,,,,,,,,,
125,15,503.6625,3.081,,,,,,,,,
125,20,505.9078,3.082,,,,,,,,,
150,5,476.1797,3.084,,,,,,,,,
150,10,499.4752,3.084,,,,,,,,,
150,15,497.234,3.099,,,,,,,,,
150,20,483.4697,3.1,,,,,,,,,
175,5,484.9527,3.103,,,,,,,,,
175,10,492.9064,3.104,,,,,,,,,
175,15,489.2644,3.117,,,,,,,,,
175,20,483.5381,3.118,,,,,,,,,
200,5,494.595,3.122,,,,,,,,,
200,10,500.414,3.124,,,,,,,,,
200,15,495.976,3.135,,,,,,,,,
200,20,486.2829,3.136,,,,,,,,,
225,5,495.8339,3.142,,,,,,,,,
225,10,519.5738,3.145,,,,,,,,,
225,15,518.6294,3.154,,,,,,,,,
225,20,499.0045,3.155,,,,,,,,,
250,5,515.6635,3.161,,,,,,,,,
250,10,536.2362,3.165,,,,,,,,,
250,15,533.1809,3.172,,,,,,,,,
250,20,526.0769,3.173,,,,,,,,,
